ip,status
1.39.72.241,dead
1.39.72.243,dead
1.39.72.245,dead
1.39.72.247,dead
1.39.72.249,dead
1.39.72.250,dead
1.39.72.253,dead
1.39.72.255,dead
1.39.226.163,dead
1.44.65.10,dead
1.44.65.166,dead
1.44.65.170,dead
1.44.65.174,dead
1.44.65.178,dead
1.44.65.201,dead
1.44.66.70,dead
1.44.66.78,dead
1.44.66.185,dead
1.44.66.210,dead
1.44.67.6,dead
1.44.67.54,dead
1.44.67.89,dead
1.44.67.129,dead
1.44.67.182,dead
1.44.67.206,dead
1.44.68.26,dead
1.44.68.34,dead
1.44.68.86,dead
1.44.68.170,dead
1.44.68.254,dead
1.44.69.26,dead
1.44.69.54,dead
1.44.69.74,dead
1.44.69.105,dead
1.44.69.109,dead
1.44.69.154,dead
1.44.69.190,dead
1.44.70.85,dead
1.44.70.169,dead
1.44.70.198,dead
1.44.71.29,dead
1.44.71.129,dead
1.44.71.137,dead
1.44.71.142,dead
1.44.71.206,dead
1.44.71.217,dead
1.44.72.36,dead
1.44.72.50,dead
1.44.72.130,dead
1.44.72.237,dead
1.44.73.60,dead
1.44.74.26,dead
1.44.74.106,dead
1.44.74.113,dead
1.44.74.142,dead
1.44.74.154,dead
1.44.74.214,dead
1.44.74.241,dead
1.44.74.242,dead
1.44.75.66,dead
1.44.75.174,dead
1.44.75.253,dead
1.44.76.26,dead
1.44.76.190,dead
1.44.77.14,dead
1.44.77.38,dead
1.44.77.182,dead
1.44.78.29,dead
1.44.78.57,dead
1.44.78.114,dead
1.44.78.142,dead
1.44.78.158,dead
1.44.78.174,dead
1.44.78.181,dead
1.44.79.26,dead
1.44.79.53,dead
1.44.79.65,dead
1.44.79.77,dead
1.44.79.101,dead
1.44.79.110,dead
1.44.79.117,dead
1.44.79.130,dead
1.44.79.234,dead
1.44.79.245,dead
1.44.79.249,dead
1.44.81.41,dead
1.44.81.57,dead
1.44.81.62,dead
1.44.81.69,dead
1.44.81.73,dead
1.44.81.94,dead
1.44.81.102,dead
1.44.81.161,dead
1.44.81.170,dead
1.44.81.181,dead
1.44.81.198,dead
1.44.81.202,dead
1.44.81.210,dead
1.44.81.218,dead
1.44.81.222,dead
1.44.82.18,dead
1.44.82.29,dead
1.44.82.46,dead
1.44.82.54,dead
1.44.82.58,dead
1.44.82.70,dead
1.44.82.90,dead
1.44.82.106,dead
1.44.82.142,dead
1.44.82.246,dead
1.44.82.250,dead
1.44.86.13,dead
1.44.86.18,dead
1.44.86.66,dead
1.44.86.70,dead
1.44.86.78,dead
1.44.86.82,dead
1.44.86.94,dead
1.44.86.122,dead
1.44.86.190,dead
1.44.86.206,dead
1.44.86.242,dead
1.44.86.250,dead
1.44.88.106,dead
1.44.88.234,dead
1.44.88.238,dead
1.44.89.53,dead
1.44.89.85,dead
1.44.89.89,dead
1.44.89.93,dead
1.44.89.141,dead
1.44.89.186,dead
1.44.91.2,dead
1.44.91.46,dead
1.44.91.50,dead
1.44.91.90,dead
1.44.91.142,dead
1.44.91.162,dead
1.44.92.18,dead
1.44.92.26,dead
1.44.92.38,dead
1.44.92.50,dead
1.44.92.58,dead
1.44.92.62,dead
1.44.92.86,alive
1.44.92.93,alive
1.44.92.182,dead
1.44.92.190,dead
1.44.92.198,dead
1.44.92.202,dead
1.44.92.246,dead
1.44.93.50,dead
1.44.93.58,dead
1.44.93.90,dead
1.44.93.110,dead
1.44.93.158,dead
1.44.94.46,dead
1.44.94.53,alive
1.44.94.70,dead
1.44.94.73,alive
1.44.94.82,dead
1.44.94.98,dead
1.44.94.154,dead
1.44.94.162,dead
1.44.104.2,dead
1.44.104.18,dead
1.44.104.22,dead
1.44.104.46,dead
1.44.104.54,dead
1.44.104.153,alive
1.44.104.157,alive
1.44.104.165,alive
1.44.104.177,alive
1.44.104.210,alive
1.44.104.234,dead
1.44.105.10,alive
1.44.105.34,dead
1.44.105.61,alive
1.44.105.113,alive
1.44.105.133,alive
1.44.105.137,alive
1.44.105.141,alive
1.44.105.145,alive
1.44.105.149,alive
1.44.105.153,alive
1.44.105.165,alive
1.44.105.173,alive
1.44.105.186,dead
1.44.105.213,alive
1.44.105.221,alive
1.44.105.233,alive
1.44.105.246,dead
1.44.106.5,alive
1.44.106.14,dead
1.44.106.21,alive
1.44.106.57,alive
1.44.106.58,dead
1.44.106.65,alive
1.44.106.98,alive
1.44.106.105,alive
1.44.106.106,dead
1.44.106.126,dead
1.44.106.138,alive
1.44.106.150,alive
1.44.106.158,alive
1.44.106.182,dead
1.44.106.193,alive
1.44.106.209,alive
1.44.106.210,dead
1.44.106.246,alive
1.0.0.1,alive
1.0.0.2,alive
1.0.0.11,alive
1.0.7.242,dead
1.0.7.249,dead
1.0.10.2,alive
1.0.16.14,alive
1.0.33.1,alive
1.0.128.4,dead
1.0.128.9,dead
1.0.128.181,dead
1.0.132.126,dead
1.0.132.127,dead
1.0.132.132,dead
1.0.132.134,dead
1.0.138.141,dead
1.0.141.225,dead
1.0.166.35,dead
1.0.166.69,dead
1.0.166.136,dead
1.0.166.145,dead
1.0.169.1,dead
1.0.169.39,dead
1.0.169.63,dead
1.0.169.80,dead
1.0.169.171,dead
1.0.169.175,dead
1.0.169.238,dead
1.0.170.30,dead
1.0.170.31,dead
1.0.170.184,dead
1.0.202.28,dead
1.0.202.150,dead
1.0.202.206,dead
1.0.203.21,dead
1.0.203.38,dead
1.0.203.103,dead
1.0.203.134,dead
1.0.216.10,dead
1.0.216.71,dead
1.0.216.133,dead
1.0.218.1,dead
1.0.218.44,dead
1.0.218.45,dead
1.0.218.54,dead
1.0.218.64,dead
1.0.218.203,dead
1.0.221.20,dead
1.1.0.1,dead
1.1.0.3,dead
1.1.0.14,dead
1.1.0.226,dead
1.1.1.1,dead
1.1.1.2,dead
1.1.1.3,dead
1.1.1.4,dead
1.1.1.5,dead
1.1.1.6,dead
1.1.1.10,dead
1.1.1.13,dead
1.1.1.14,dead
1.1.1.17,dead
1.1.1.18,dead
1.1.1.21,dead
1.1.1.22,dead
1.1.1.42,dead
1.1.1.57,dead
1.1.1.77,dead
1.1.1.86,dead
1.1.1.100,dead
1.1.1.136,dead
1.1.1.194,dead
1.1.1.197,dead
1.1.1.198,dead
1.1.1.221,dead
1.1.1.222,dead
1.1.1.248,dead
1.1.1.249,dead
1.1.1.250,dead
1.1.1.252,dead
1.1.2.1,dead
1.1.2.9,dead
1.1.2.10,dead
1.1.2.18,dead
1.1.2.22,dead
1.1.2.45,dead
1.1.2.57,dead
1.1.2.109,dead
1.1.2.110,dead
1.1.2.129,dead
1.1.3.1,dead
1.1.3.2,dead
1.1.3.3,dead
1.1.3.110,dead
1.1.3.158,dead
1.1.3.161,dead
1.1.5.1,dead
1.1.5.2,dead
1.1.6.21,dead
1.1.6.22,dead
1.1.6.54,dead
1.1.6.62,dead
1.1.10.1,dead
1.1.10.2,dead
1.1.10.5,dead
1.1.15.2,dead
1.1.20.2,dead
1.1.20.22,dead
1.1.33.2,dead
1.1.61.1,dead
1.1.148.110,dead
1.1.149.151,dead
1.1.149.153,dead
1.1.149.154,dead
1.1.149.160,dead
1.1.149.181,dead
1.1.149.182,dead
1.1.149.195,dead
1.1.149.207,dead
1.1.176.21,dead
1.1.176.33,dead
1.1.176.34,dead
1.1.176.118,dead
1.1.176.127,dead
1.1.176.153,dead
1.1.178.31,dead
1.1.178.63,dead
1.1.178.84,dead
1.1.178.94,dead
1.1.178.97,dead
1.1.178.166,dead
1.1.178.167,dead
1.1.178.171,dead
1.1.179.64,dead
1.1.180.226,dead
1.1.183.42,dead
1.1.183.51,dead
1.1.183.55,dead
1.1.183.63,dead
1.1.183.66,dead
1.1.189.62,dead
1.1.189.82,dead
1.1.220.150,dead
1.1.220.166,dead
1.1.224.2,dead
1.1.225.40,dead
1.1.231.221,dead
1.2.1.2,dead
1.2.3.4,dead
1.2.3.6,dead
1.2.48.129,dead
1.2.48.130,dead
1.2.161.181,dead
1.2.168.201,dead
1.2.168.249,dead
1.2.236.24,dead
1.2.236.26,dead
1.2.236.127,dead
1.2.236.136,dead
1.2.236.140,dead
1.2.236.157,dead
1.2.248.64,dead
1.2.248.65,dead
1.2.249.198,dead
1.2.252.1,dead
1.2.252.16,dead
1.2.252.46,dead
1.2.252.82,dead
1.2.252.178,dead
1.2.252.194,dead
1.3.4.3,dead
1.4.42.4,dead
1.4.157.1,dead
1.4.157.4,dead
1.4.157.25,dead
1.4.157.41,dead
1.4.157.93,dead
1.4.157.122,dead
1.4.159.230,dead
1.4.194.49,dead
1.4.194.199,dead
1.4.194.243,dead
1.4.198.117,dead
1.4.212.12,dead
1.4.212.96,dead
1.4.212.130,dead
1.4.212.142,dead
1.4.212.219,dead
1.4.213.36,dead
1.4.213.78,dead
1.4.214.52,dead
1.4.214.128,dead
1.4.214.145,dead
1.4.214.183,dead
1.4.214.192,dead
1.4.214.193,dead
1.4.215.1,dead
1.4.215.45,dead
1.4.215.60,dead
1.4.215.61,dead
1.4.215.106,dead
1.4.222.1,dead
1.4.222.179,dead
1.6.0.26,dead
1.6.0.159,dead
1.6.0.197,dead
1.6.1.144,dead
1.6.1.181,dead
1.6.1.235,dead
1.6.2.102,dead
1.6.2.197,dead
1.6.3.38,dead
1.6.3.39,dead
1.6.3.73,dead
1.6.3.157,dead
1.6.3.197,dead
1.6.4.10,dead
1.6.4.11,dead
1.6.4.101,dead
1.6.4.153,dead
1.6.4.233,dead
1.6.4.235,dead
1.6.4.237,dead
1.6.4.239,dead
1.6.5.21,dead
1.6.5.72,dead
1.6.5.137,dead
1.6.6.146,dead
1.6.6.168,dead
1.6.7.37,dead
1.6.7.42,dead
1.6.8.145,dead
1.6.8.195,dead
1.6.9.173,dead
1.6.10.33,dead
1.6.10.153,dead
1.6.10.165,dead
1.6.10.232,dead
1.6.11.105,dead
1.6.11.108,dead
1.6.11.212,dead
1.6.11.230,dead
1.6.12.38,dead
1.6.12.199,dead
1.6.12.239,dead
1.6.13.25,dead
1.6.13.235,dead
1.6.14.79,dead
1.6.14.114,dead
1.6.14.157,dead
1.6.14.194,dead
1.6.15.199,dead
1.6.16.178,dead
1.6.17.11,dead
1.6.17.13,dead
1.6.18.18,dead
1.6.18.115,dead
1.6.18.155,dead
1.6.18.201,alive
1.6.18.207,dead
1.6.19.153,dead
1.6.20.35,dead
1.6.20.79,dead
1.6.20.115,dead
1.6.20.117,alive
1.6.20.153,dead
1.6.20.157,dead
1.6.20.193,dead
1.6.22.33,dead
1.6.22.97,dead
1.6.22.218,dead
1.6.23.113,dead
1.6.23.153,dead
1.6.24.192,dead
1.6.24.193,dead
1.6.25.40,dead
1.6.25.41,dead
1.6.25.223,dead
1.6.25.250,dead
1.6.26.33,dead
1.6.26.119,dead
1.6.26.166,dead
1.6.26.181,dead
1.6.26.183,dead
1.6.26.205,dead
1.6.26.217,dead
1.6.26.219,dead
1.6.27.63,dead
1.6.27.86,dead
1.6.27.156,dead
1.6.27.233,dead
1.6.28.126,dead
1.6.28.201,dead
1.6.29.39,dead
1.6.29.237,dead
1.6.29.239,dead
1.6.30.233,dead
1.6.31.235,dead
1.6.32.37,dead
1.6.32.84,dead
1.6.32.87,dead
1.6.32.89,dead
1.6.32.165,dead
1.6.33.245,dead
1.6.34.236,dead
1.6.35.121,dead
1.6.40.165,dead
1.6.40.184,dead
1.6.40.188,dead
1.6.40.189,dead
1.6.40.191,dead
1.6.41.32,dead
1.6.41.82,dead
1.6.41.158,dead
1.6.41.159,dead
1.6.41.193,dead
1.6.42.112,dead
1.6.42.205,dead
1.6.42.222,dead
1.6.42.223,dead
1.6.43.118,dead
1.6.43.235,dead
1.6.44.155,dead
1.6.44.253,dead
1.6.44.255,dead
1.6.45.21,dead
1.6.45.60,dead
1.6.45.89,dead
1.6.45.120,dead
1.6.45.121,dead
1.6.45.205,dead
1.6.46.29,dead
1.6.47.133,dead
1.6.48.227,dead
1.6.52.89,dead
1.6.52.139,dead
1.6.52.161,dead
1.6.52.165,dead
1.6.52.167,dead
1.6.53.81,dead
1.6.54.251,dead
1.6.55.183,dead
1.6.56.90,dead
1.6.56.167,dead
1.6.56.198,dead
1.6.57.251,dead
1.6.59.33,dead
1.6.59.154,dead
1.6.61.202,dead
1.6.61.207,dead
1.6.65.122,dead
1.6.65.245,dead
1.6.66.39,dead
1.6.66.249,dead
1.6.66.251,dead
1.6.67.77,dead
1.6.67.79,dead
1.6.67.113,dead
1.6.67.115,dead
1.6.67.191,dead
1.6.68.38,dead
1.6.68.197,dead
1.6.69.218,dead
1.6.70.66,dead
1.6.70.67,dead
1.6.70.115,dead
1.6.70.153,alive
1.6.70.154,dead
1.6.70.155,dead
1.6.70.233,dead
1.6.70.235,dead
1.6.72.75,dead
1.6.72.77,dead
1.6.72.93,dead
1.6.72.101,dead
1.6.72.155,dead
1.6.72.233,dead
1.6.73.159,dead
1.6.73.241,dead
1.6.74.59,dead
1.6.74.115,dead
1.6.74.167,dead
1.6.74.251,dead
1.6.74.255,dead
1.6.75.119,dead
1.6.75.130,dead
1.6.75.192,dead
1.6.75.254,dead
1.6.77.184,dead
1.6.78.198,dead
1.6.78.226,dead
1.6.79.79,dead
1.6.80.75,dead
1.6.81.197,dead
1.6.82.237,dead
1.6.84.130,dead
1.6.84.131,dead
1.6.85.155,dead
1.6.85.232,dead
1.6.86.28,dead
1.6.87.233,dead
1.6.88.81,dead
1.6.88.184,dead
1.6.88.198,dead
1.6.89.37,dead
1.6.89.76,dead
1.6.89.77,dead
1.6.90.10,dead
1.6.90.113,dead
1.6.90.157,dead
1.6.90.180,dead
1.6.90.192,dead
1.6.90.196,dead
1.6.90.234,dead
1.6.90.239,dead
1.6.91.39,dead
1.6.93.73,dead
1.6.94.79,dead
1.6.95.116,dead
1.6.95.117,dead
1.6.95.161,dead
1.6.95.253,dead
1.6.97.34,dead
1.6.97.39,dead
1.6.98.33,dead
1.6.98.39,dead
1.6.100.16,dead
1.6.100.117,dead
1.6.100.119,alive
1.6.101.2,dead
1.6.101.103,dead
1.6.101.119,dead
1.6.102.78,dead
1.6.102.113,dead
1.6.102.197,alive
1.6.102.218,dead
1.6.102.233,alive
1.6.103.79,dead
1.6.103.113,dead
1.6.104.73,dead
1.6.104.105,dead
1.6.104.115,dead
1.6.104.178,dead
1.6.104.182,alive
1.6.107.3,dead
1.6.108.33,dead
1.6.108.193,alive
1.6.109.38,dead
1.6.109.114,alive
1.6.109.115,dead
